ticker,date,sentiment_mean,sentiment_std,sentiment_min,sentiment_max,num_articles,sentiment_range,close,volume,momentum_5d,momentum_10d,momentum_20d,volatility_10d,volatility_20d,price_vs_ma10,price_vs_ma20,volume_change,volume_ma_ratio,day_of_week,day_of_month,month,is_month_start,is_month_end,target,target_direction
MPC,2026-02-03,-0.0416898019611835,0.0,-0.0416898019611835,-0.0416898019611835,1,0.0,187.5800018310547,5254900,0.09191460016313102,0.07262120650529758,0.07225333950639468,0.021626601946734117,0.019765970796932958,0.06496044542378776,0.06636197289060974,0.7360092500825901,2.1135677138846547,1,3,2,1,0,,0
MRK,2025-12-04,-0.047989048063755,0.0,-0.047989048063755,-0.047989048063755,1,0.0,100.03499603271484,12770700,-0.035745010127342214,0.06144130398142478,0.19552079079258977,0.024176436081037044,0.021297770704939333,-0.005294480479671848,0.047843064283655146,0.01826720673598259,0.8168124952030087,3,4,12,1,0,,0
MRK,2026-02-03,-0.0412707272917032,0.0,-0.0412707272917032,-0.0412707272917032,1,0.0,115.83999633789062,25793600,0.07338767886695852,0.05838281925827915,0.0781831134177926,0.01566236916569196,0.014864100534325181,0.05451927535621315,0.05538874537016958,0.432969816834351,1.9188011807274805,1,3,2,1,0,,0
MS,2025-11-03,-0.0906947571784257,0.0,-0.0906947571784257,-0.0906947571784257,1,0.0,162.75279235839844,4719200,-0.00827444687015344,0.016523247577956424,0.04147192263584154,0.012865171284670419,0.017570134465193312,0.009675743631912592,0.027685684797644994,-0.11351554428477506,1.0151524277441726,0,3,11,1,0,,0
MS,2026-01-15,-0.0815890301018953,0.0,-0.0815890301018953,-0.0815890301018953,1,0.0,190.1815948486328,12957100,0.03546680426653759,0.07717007091977934,0.08339470147787709,0.023359171382142347,0.018503009560866916,0.03182397876133636,0.051468229072040295,0.536293573630543,2.1373100156045357,3,15,1,0,0,,0
MSFT,2025-03-31,0.7432032525539398,0.0,0.7432032525539398,0.7432032525539398,1,0.0,373.3883056640625,35184700,-0.04500348976198587,-0.034242389201046164,-0.033720236809536175,0.013080406072658689,0.01588020170634236,-0.030606149847842712,-0.03152151153778737,0.6265116494082841,1.5971976964930805,0,31,3,0,1,,0
MSFT,2025-06-30,0.7638282254338264,0.0,0.7638282254338264,0.7638282254338264,1,0.0,495.66595458984375,28369000,0.023477433847725493,0.04726718864158097,0.0804805928719734,0.007200438356494988,0.006471253006015772,0.020537578095763287,0.03941183738957821,-0.17864339648862737,1.205679515943198,0,30,6,0,1,,0
MSFT,2025-09-30,0.7630100548267365,0.0,0.7630100548267365,0.7630100548267365,1,0.0,516.982421875,19728200,0.017123882118562195,0.01750356866951419,0.025399962750102922,0.008657991902143712,0.010233915505398044,0.01137027983983896,0.019398026115617695,0.11978794174073948,0.9399187965654816,1,30,9,0,1,,0
MSFT,2025-12-31,0.766340509057045,0.0,0.766340509057045,0.766340509057045,1,0.0,483.6199951171875,15601600,-0.00663450949128952,0.015176599522316758,-0.013020418128188771,0.006296255401076618,0.011153326927634677,-0.003198882141772219,0.00042819101299484963,0.11883538312596365,0.7403913231239412,2,31,12,0,1,,0
MSFT,2026-01-28,-0.0633547250181436,0.045277605980336345,-0.095370827242732,-0.0313386227935552,2,0.06403220444917682,481.6300048828125,36875400,0.08448362065434933,0.023285935246352585,-0.01122972932080124,0.018730234785151952,0.015130694863844316,0.0415626064443515,0.023849367511222574,0.2622552962801954,1.1953228779237686,2,28,1,0,1,,0
